pressure_loss,size_1/2_0.042,size_3/4_0.063,size_1_0.084,size_1-1/4_0.105,size_1-1/2_0.126,size_2_0.167,size_2-1/2_0.209,size_3_0.251,size_4_0.334
0.5,,,,,4,7,28,80,437
1,,,,,5,16,67,196,864
2,,,,4.5,7,42,160,437,1611
3,,,,5.5,11,70,261,661,1725
4,,,4,6.5,16,100,338,665,
5,,,4.5,7.5,22,128,,,
6,,,4.5,8.5,30,,,,
7,,,5,11,34,,,,
8,,,5.5,13.5,,,,,
9,,,5.5,,,,,,
10,,,6,,,,,,
11,,,6,,,,,,
12,,,,,,,,,
13,,4,,,,,,,
14,,4,,,,,,,
15,,4,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
