pressure_loss,size_1/2_0.042,size_3/4_0.063,size_1_0.084,size_1-1/4_0.105,size_1-1/2_0.126,size_2_0.167,size_2-1/2_0.209,size_3_0.251,size_4_0.334
0.5,0.5,2,4,9,15,37,86,200,561
1,1,2.5,6.5,13,23,63,170,345,923
2,1.5,4,10.5,20.5,37,120,305,566,1694
3,2,6,14,27.5,52,175,410,752,1792
4,2,7,16.5,33,66,225,469,,
5,2.5,8,20,40,80,260,,,
6,2.5,9.5,22.5,45,100,,,,
7,3,10,24,52,107,,,,
8,3,10.5,26.5,58,,,,,
9,3.5,12.5,28,,,,,,
10,3.5,13,30,,,,,,
11,4,14,31,,,,,,
12,4,15,,,,,,,
13,4,15.5,,,,,,,
14,5,16.5,,,,,,,
15,5,,,,,,,,
16,6,,,,,,,,
17,6,,,,,,,,
18,6,,,,,,,,
19,6,,,,,,,,
20,6.5,,,,,,,,
