pressure_loss,size_1/2_0.042,size_3/4_0.063,size_1_0.084,size_1-1/4_0.105,size_1-1/2_0.126,size_2_0.167,size_2-1/2_0.209,size_3_0.251,size_4_0.334
0.5,0.5,1.5,3.5,9,15,32,66,175,490
1,1,2.5,6,14,23,57,124,310,805
2,1.5,4,9.5,22.5,37,110,235,511,1435
3,2,6,11.5,28,52,155,320,683,1966
4,2.5,6.5,15,35,52,155,395,837,
5,3,8,16.5,42,80,245,465,,
6,3,9,19,50,100,280,471,,
7,3.5,9.5,20.5,55,113,293,,,
8,4,10,23,63,124,,,,
9,4,11.5,25,70,131,,,,
10,5,12.5,26.5,76,,,,,
11,5,13,28,77,,,,,
12,6,14,29,,,,,,
13,6,15,31,,,,,,
14,6,15,33,,,,,,
15,6.5,15.5,,,,,,,
16,6.5,16.5,,,,,,,
17,7,17.5,,,,,,,
18,7,18,,,,,,,
19,7,18.5,,,,,,,
20,8,,,,,,,,
21,8,,,,,,,,
22,9,,,,,,,,
23,9,,,,,,,,
24,9,,,,,,,,
25,9.5,,,,,,,,
