pressure_loss,size_1/2_0.042,size_3/4_0.063,size_1_0.084,size_1-1/4_0.105,size_1-1/2_0.126,size_2_0.167,size_2-1/2_0.209,size_3_0.251,size_4_0.334
0.5,,,,,4,7.5,33,96,481
1,,,,4,5.5,18.5,77,227,945
2,,,,5,8,48,184,493,1750
3,,,4,6.5,13.5,80,300,731,1835
4,,,4.5,7,20,120,374,,
5,,,5,8.5,30,144,,,
6,,,5.5,11,36,,,,
7,,,6,13.5,39,,,,
8,,,6.5,17,,,,,
9,,4,6.5,,,,,,
10,,4,7,,,,,,
11,,4,,,,,,,
12,,4,,,,,,,
13,,4.5,,,,,,,
14,,4.5,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
