pressure_loss,size_1/2_0.042,size_3/4_0.063,size_1_0.084,size_1-1/4_0.105,size_1-1/2_0.126,size_2_0.167,size_2-1/2_0.209,size_3_0.251,size_4_0.334
0.5,0.5,2,4,9,15.5,37,100,210,577
1,1,3,7,14,24,66,180,360,953
2,1.5,5,11.5,22.5,40,128,315,588,1750
3,2,6.5,15.5,29,55,185,425,776,1835
4,2.5,8,18,35,70,240,484,,
5,2.5,9.5,21.5,42,86,270,,,
6,3,10,24,50,106,,,,
7,3.5,11.5,26.5,55,112,,,,
8,3.5,12.5,29,62,,,,,
9,4,13,31,,,,,,
10,4,15,34,,,,,,
11,5,15.5,,,,,,,
12,5,16.5,,,,,,,
13,6,17.5,,,,,,,
14,6,18,,,,,,,
15,6,,,,,,,,
16,6.5,,,,,,,,
17,6.5,,,,,,,,
18,6.5,,,,,,,,
19,7,,,,,,,,
20,7,,,,,,,,
21,7.5,,,,,,,,
