pressure_loss,size_1/2_0.042,size_3/4_0.063,size_1_0.084,size_1-1/4_0.105,size_1-1/2_0.126,size_2_0.167,size_2-1/2_0.209,size_3_0.251,size_4_0.334
0.5,,,,,4,7,18.5,75,381
1,,,,4,5,15,46,180,769
2,,,,5,7.5,38,116,406,1435
3,,,,6,12.5,65,188,607,1966
4,,,4,7,18.5,90,266,809,
5,,,4,8.5,26,124,350,,
6,,,4.5,11,33,152,358,,
7,,,4.5,13.5,40,163,,,
8,,,5,17.5,46,,,,
9,,,5.5,20,49,,,,
10,,,6,24,,,,,
11,,4,6,24,,,,,
12,,4,6.5,,,,,,
13,,4,6.5,,,,,,
14,,4,7,,,,,,
15,,4,,,,,,,
16,,4,,,,,,,
17,,4.5,,,,,,,
18,,4.5,,,,,,,
19,,4.5,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
